jeu_vidéo,jeu_vidéoLabel,image
http://www.wikidata.org/entity/Q637312,World of Goo,http://commons.wikimedia.org/wiki/Special:FilePath/World%20of%20Goo%20Gameplay.png
http://www.wikidata.org/entity/Q648228,Spider,http://commons.wikimedia.org/wiki/Special:FilePath/Spider%20%28solitaire%29.jpg
http://www.wikidata.org/entity/Q648228,Spider,http://commons.wikimedia.org/wiki/Special:FilePath/SpiderPatience.jpg
http://www.wikidata.org/entity/Q651591,Transport Tycoon,http://commons.wikimedia.org/wiki/Special:FilePath/Openttd%20transport%20tycoon-terabass.jpg
http://www.wikidata.org/entity/Q662253,Star Trek,http://commons.wikimedia.org/wiki/Special:FilePath/Star%20Trek%20text%20game.png
http://www.wikidata.org/entity/Q666842,Progress Quest,http://commons.wikimedia.org/wiki/Special:FilePath/ProgressQuest%20Screenshot.png
http://www.wikidata.org/entity/Q679254,Cocoto Kart Racer,http://commons.wikimedia.org/wiki/Special:FilePath/CocotoKart.jpg
http://www.wikidata.org/entity/Q214142,La Bataille pour Wesnoth,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Battle%20for%20Wesnoth%201.12%20title%20screen.png
http://www.wikidata.org/entity/Q215861,STALKER: Shadow of Chernobyl,http://commons.wikimedia.org/wiki/Special:FilePath/Stalkershot%202.jpg
http://www.wikidata.org/entity/Q216293,Pong,http://commons.wikimedia.org/wiki/Special:FilePath/Signed%20Pong%20Cabinet.jpg
http://www.wikidata.org/entity/Q218568,Super Hexagon,http://commons.wikimedia.org/wiki/Special:FilePath/Super%20Hexagon%20-%20iPad%20Hexagon%2002.png
http://www.wikidata.org/entity/Q220665,Space Invaders,http://commons.wikimedia.org/wiki/Special:FilePath/Space%20Invaders.JPG
http://www.wikidata.org/entity/Q220665,Space Invaders,http://commons.wikimedia.org/wiki/Special:FilePath/Space%20Invaders%20-%20Midway%27s.JPG
http://www.wikidata.org/entity/Q224905,SameGame,http://commons.wikimedia.org/wiki/Special:FilePath/Ksame.png
http://www.wikidata.org/entity/Q248810,Dwarf Fortress,http://commons.wikimedia.org/wiki/Special:FilePath/Dwarf%20Fortress%20-%20mapa%20%C5%9Bwiata.png
http://www.wikidata.org/entity/Q150294,Mortal Kombat,http://commons.wikimedia.org/wiki/Special:FilePath/Festival%20du%20jeu%20video%2020080926%20032.jpg
http://www.wikidata.org/entity/Q160083,.kkrieger,http://commons.wikimedia.org/wiki/Special:FilePath/.kkrieger%203.jpg
http://www.wikidata.org/entity/Q162028,FreeCol,http://commons.wikimedia.org/wiki/Special:FilePath/FreeCol0%205%202%20mapboard.jpg
http://www.wikidata.org/entity/Q165929,StarCraft,http://commons.wikimedia.org/wiki/Special:FilePath/Starcraft%20Gamescom%202017%20%2836851382835%29.jpg
